Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1582178400000,9570.03000000,9620.02000000,9550.32000000,9619.58000000,1805.98406200,1582181999999,17301653.16548051,19758,1019.36301400,9763412.65754115,0
1582182000000,9619.58000000,9630.33000000,9591.60000000,9607.23000000,1664.73625700,1582185599999,15998238.46002694,21093,835.21967000,8027006.17158614,0
1582185600000,9606.78000000,9609.99000000,9540.17000000,9582.53000000,2571.15276000,1582189199999,24611385.04831689,29097,1213.51182700,11619047.76384562,0
1582189200000,9582.50000000,9620.00000000,9552.08000000,9604.76000000,2192.04822800,1582192799999,21011896.52442825,23836,1188.81663600,11395735.86577378,0
1582192800000,9604.96000000,9650.00000000,9571.67000000,9607.05000000,2103.72712700,1582196399999,20229281.75526609,20568,1015.47683300,9764580.04877715,0
1582196400000,9607.26000000,9635.00000000,9556.51000000,9565.39000000,2513.53431700,1582199999999,24112871.40707674,26839,1230.52173800,11806138.66472766,0
1582200000000,9565.49000000,9603.00000000,9525.70000000,9554.77000000,2786.04866600,1582203599999,26657127.56615581,31265,1359.65752400,13011564.73497783,0
1582203600000,9554.93000000,9592.86000000,9518.08000000,9589.38000000,3139.67727100,1582207199999,29986480.46517511,33125,1810.53276300,17291461.36938885,0
1582207200000,9589.99000000,9619.83000000,9563.67000000,9598.99000000,2610.08574800,1582210799999,25050873.15086196,26524,1284.69167000,12330643.79172079,0
1582210800000,9599.00000000,9609.90000000,9562.61000000,9574.26000000,2169.34840200,1582214399999,20792136.10640029,25433,1044.15950500,10008484.97359734,0
1582214400000,9574.43000000,9699.00000000,9400.00000000,9631.35000000,7826.32875700,1582217999999,74841629.55538365,69441,3722.53404200,35629486.82476704,0
1582218000000,9633.42000000,9647.36000000,9410.00000000,9498.77000000,5304.82755700,1582221599999,50612324.85213493,48007,2308.81308000,22021124.55716666,0
1582221600000,9497.02000000,9577.88000000,9460.02000000,9530.63000000,2371.67522100,1582225199999,22585149.62188481,24787,1196.83678900,11396392.50602185,0
1582225200000,9531.29000000,9574.49000000,9516.61000000,9551.96000000,1021.74132500,1582228799999,9751669.42241314,14952,536.20110100,5117273.08502780,0
1582228800000,9553.69000000,9589.00000000,9537.00000000,9582.80000000,1017.96224700,1582232399999,9735038.41184675,15221,513.08858400,4906871.12343844,0
